pre_task,fair_metric,fair_value
Target,eo,0.15782881788475478
LOO,eo,0.13730935793635846
WOE,eo,0.16058916058916062
Count,eo,0.13589536363551913
One Hot,eqOdds,0.1435532489878842
Ordinal,eqOdds,0.33150641068575487
Target,eqOdds,0.23923813981848474
LOO,eqOdds,0.20850804430745862
WOE,eqOdds,0.23363920014832665
Count,eqOdds,0.21679661485153162
One Hot,accu,0.15033783783783783
Ordinal,accu,0.17675061425061422
Target,accu,0.15325552825552824
LOO,accu,0.15064496314496312
WOE,accu,0.14926289926289926
Count,accu,0.21191646191646196
One Hot,dp,0.17106024198238717
Ordinal,dp,0.1756292957088077
Target,dp,0.16315323672733867
LOO,dp,0.18406089152258606
WOE,dp,0.16953684043290917
Count,dp,0.13181392799714595
One Hot,eo,0.12115403339662145
Ordinal,eo,0.23651266766020862
Target,eo,0.10609898967647613
LOO,eo,0.13168178408238423
WOE,eo,0.1270727116786582
Count,eo,0.15280002669870507
One Hot,eqOdds,0.1859901908766513
Ordinal,eqOdds,0.31449456013274135
Target,eqOdds,0.17295647305510503
LOO,eqOdds,0.20767107654839806
WOE,eqOdds,0.1956949931448912
Count,eqOdds,0.22424507310791286
One Hot,accu,0.14649877149877155
Ordinal,accu,0.17567567567567566
Target,accu,0.15202702702702697
LOO,accu,0.15248771498771496
WOE,accu,0.15678746928746934
Count,accu,0.20623464373464373
One Hot,dp,0.17169169854085198
Ordinal,dp,0.1787598720043573
Target,dp,0.19538522426182503
LOO,dp,0.1879968955683039
WOE,dp,0.1853628696312715
Count,dp,0.14856658403947479
One Hot,eo,0.1107054315979265
Ordinal,eo,0.2741584241879285
Target,eo,0.20439144995029046
LOO,eo,0.18423106393847377
WOE,eo,0.14946625088683202
Count,eo,0.11004954340769679
One Hot,eqOdds,0.17522363593314544
Ordinal,eqOdds,0.34840453708984365
Target,eqOdds,0.29064305077611635
LOO,eqOdds,0.26255290091373584
WOE,eqOdds,0.230732012643248
Count,eqOdds,0.20537085460123888
One Hot,accu,0.14373464373464373
Ordinal,accu,0.167997542997543
Target,accu,0.15509828009828008
LOO,accu,0.15310196560196565
WOE,accu,0.1543304668304668
Count,accu,0.21176289926289926
One Hot,dp,0.1780083165703291
Ordinal,dp,0.17100497958052097
Target,dp,0.17752964855400927
LOO,dp,0.18340535289585636
WOE,dp,0.1896356529571692
Count,dp,0.13732878267612164
One Hot,eo,0.11332928946930237
Ordinal,eo,0.30508718835567084
Target,eo,0.1605301914580265
LOO,eo,0.19732820809513074
WOE,eo,0.172358102337138
Count,eo,0.14103012137259907
One Hot,eqOdds,0.17786589785225715
Ordinal,eqOdds,0.37607669573649705
Target,eqOdds,0.23182737314427593
LOO,eqOdds,0.2733121575529981
WOE,eqOdds,0.2593768790717639
Count,eqOdds,0.22513293231213405
One Hot,accu,0.15003071253071254
Ordinal,accu,0.17536855036855037
Target,accu,0.1543304668304668
LOO,accu,0.144963144963145
WOE,accu,0.15509828009828008
Count,accu,0.20654176904176902
