pipe,gen,dp_acc_reps,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"target_enc,mean_imp,under_samp,quant_scale,k_best_sel",0,"(20, 0)",73564,0.3981558188869725,0.3679319844951264,0.2168546111253704,0.463966263661528,0.20425687093482986,0.21710423378169516,0.1815417357479913,0.19971922719714824,0.20425687093482986
"onehot_enc,median_imp,norm_scale,under_samp,k_best_sel",0,"(20, 0)",73564,0.19229344349139926,-1.0,0.6146098388464801,0.7322703511811187,0.3278340613442164,0.2992617242095622,0.3979283573523786,0.3533127779894372,0.32783406134421633
"target_enc,most_freq_imp,max_abs_scale,k_best_sel,under_samp",0,"(20, 0)",73564,0.4251427501039936,0.34224096423882905,0.24575663524263425,0.5175296082894316,0.19966561981890066,0.2176787874325772,0.16776001147812786,0.19349205613041232,0.19966561981890066
"count_enc,median_imp,min_max_scale,k_best_sel,no_samp",0,"(20, 0)",73564,0.18948321664469767,0.1322321793425897,0.30378555064881285,0.3882839031009933,0.1753631645219739,0.2898007496547642,0.5408748884070914,0.4422927962819515,0.30015022737506664
"woe_enc,most_freq_imp,over_samp,k_best_sel,quant_scale",0,"(20, 0)",73564,0.3949019925071096,0.3697960229029947,0.21428082382960068,0.4547599281334251,0.20222713137135914,0.21389713240620545,0.18183214502427186,0.19818536836368408,0.20222713137135914
"count_enc,median_imp,min_max_scale,k_best_sel,over_samp",0,"(20, 0)",73564,0.4478984550442992,0.2826263644285931,0.3675388745873513,0.6341082967525702,0.22219356796116502,0.22425564009462315,0.21845545105177988,0.22136680247605572,0.22219356796116504
"onehot_enc,most_freq_imp,quant_scale,no_samp,no_sel",0,"(20, 0)",73564,0.18987604989840412,0.26065062057072363,0.17158117552515795,0.25586379867004005,0.1599459476060316,0.29159411112870043,0.4292819793393693,0.3678485661816638,0.2518982712230833
"loo_enc,most_freq_imp,max_abs_scale,under_samp,no_sel",1,"(20, 0)",73564,0.4202895123578637,0.346877746526903,0.2354131034217592,0.5005324045075998,0.1959471846703226,0.21328337754184573,0.16570749904348936,0.1901949255514348,0.19594718467032265
"onehot_enc,median_imp,norm_scale,over_samp,k_best_sel",1,"(20, 0)",73564,0.2299928463842112,-1.0,0.4822068521461169,0.6008913678884025,0.2687639057443365,0.2917736784553227,0.21349489279935274,0.2546888476737685,0.2687639057443365
"ordinal_enc,most_freq_imp,norm_scale,over_samp,no_sel",1,"(20, 0)",73564,0.3377916059854089,-1.0,0.4508526610246143,0.7067152939478833,0.3100209850323625,0.3208964604570759,0.2796577922734628,0.3008860724680362,0.3100209850323625
