pipe,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"count_enc,mean_imp,max_abs_scale,no_samp,k_best_sel",0.08532024310425435,0.9053521418939938,0.051266712529536726,0.17600853490332996,0.29100000000000026,0.2662857142857145,0.08285714285714277,0.18476190476190452,0.42976190476190446
"count_enc,mean_imp,max_abs_scale,no_samp,no_sel",0.09742870500233751,0.8910440738223444,0.06315117797784621,0.2010060221106097,0.29599999999999976,0.26620370370370394,0.0942857142857143,0.18925831202046028,0.43047619047619096
"count_enc,mean_imp,max_abs_scale,no_sel,no_samp",0.09742870500233751,0.8910440738223444,0.06315117797784621,0.2010060221106097,0.29599999999999976,0.26620370370370394,0.0942857142857143,0.18925831202046028,0.43047619047619096
"count_enc,mean_imp,max_abs_scale,no_sel,over_samp",0.18985158389763107,0.6556347994888607,0.16508545698361896,0.321493148862091,0.3246316964285716,0.3201602431223058,0.33691964285714276,0.32867785283596274,0.3246316964285716
"count_enc,mean_imp,max_abs_scale,no_sel,under_samp",0.187438344615426,0.6663893856010755,0.18099024481323503,0.32848321998014995,0.3500260416666667,0.3489191098090338,0.35328125000000005,0.3512234893601121,0.3500260416666667
"count_enc,mean_imp,max_abs_scale,over_samp,k_best_sel",0.21109424165663507,0.625527870234866,0.19178437721213576,0.36287190859530577,0.32534598214285726,0.3226401730381133,0.3328125,0.3277967681548701,0.3253459821428572
"count_enc,mean_imp,max_abs_scale,over_samp,no_sel",0.18788938787589932,0.6585398185664686,0.16354584168336675,0.3186998899631377,0.3244642857142857,0.32000060501806754,0.3365401785714286,0.3284180427380648,0.3244642857142857
"count_enc,mean_imp,max_abs_scale,under_samp,k_best_sel",0.21362430270944038,0.6244710604627624,0.21411324622210906,0.37192356972467894,0.33325520833333333,0.33212010544463444,0.33625,0.3342565890763593,0.3332552083333334
"count_enc,mean_imp,max_abs_scale,under_samp,no_sel",0.20235532489393934,0.6390827659072508,0.20454735434459598,0.3552630467409647,0.34755208333333326,0.3451543200651147,0.3553124999999999,0.35036425823029155,0.3475520833333333
"count_enc,mean_imp,min_max_scale,k_best_sel,no_samp",0.07919588592800367,0.9118626430801255,0.04926270451350458,0.1595946128664513,0.2920000000000001,0.2665903890160183,0.08428571428571444,0.1855146124523509,0.43047619047619096
"count_enc,mean_imp,min_max_scale,k_best_sel,over_samp",0.1964279547503388,0.6485339266342377,0.1721717689109562,0.33460053933785233,0.32537946428571435,0.3226866882993773,0.3327232142857142,0.3277686828041848,0.3253794642857144
"count_enc,mean_imp,min_max_scale,k_best_sel,under_samp",0.20520424777826102,0.6345410044410738,0.20096294577577284,0.3556458676260059,0.3344791666666668,0.33187432270896017,0.3419791666666666,0.3370357492667439,0.3344791666666668
"count_enc,mean_imp,min_max_scale,no_samp,k_best_sel",0.07919588592800367,0.9118626430801255,0.04926270451350458,0.1595946128664513,0.2920000000000001,0.2665903890160183,0.08428571428571444,0.1855146124523509,0.43047619047619096
"count_enc,mean_imp,min_max_scale,no_samp,no_sel",0.09130434782608701,0.8975609756097568,0.051196921205595346,0.19299047517072354,0.29299999999999965,0.2641946697566625,0.0928571428571428,0.1874600127959051,0.4264285714285708
"count_enc,mean_imp,min_max_scale,no_sel,no_samp",0.09130434782608701,0.8975609756097568,0.051196921205595346,0.19299047517072354,0.29299999999999965,0.2641946697566625,0.0928571428571428,0.1874600127959051,0.4264285714285708
"count_enc,mean_imp,min_max_scale,no_sel,over_samp",0.18868313433284073,0.6582804553746007,0.16285057677544143,0.31949966916108696,0.32446428571428576,0.3203542720477005,0.33571428571428574,0.32814833908692664,0.3244642857142857
"count_enc,mean_imp,min_max_scale,no_sel,under_samp",0.17958025689288024,0.6797634308106253,0.16983934332943199,0.31595587150081395,0.3493229166666666,0.34854840916262186,0.35177083333333325,0.3502244399177152,0.3493229166666666
"count_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.19013290412283002,0.6576669544311209,0.17387776174239034,0.3247744456621024,0.3235937500000002,0.3206450536716173,0.33158482142857143,0.3261967002151736,0.3235937500000002
"count_enc,mean_imp,min_max_scale,over_samp,no_sel",0.18467523024032512,0.6645471745803044,0.16016641491939104,0.31127590813784045,0.3242968750000001,0.3198766808450248,0.33638392857142846,0.3282586632466884,0.324296875
"count_enc,mean_imp,min_max_scale,under_samp,k_best_sel",0.2015559042985826,0.6430541464577532,0.19705891657383529,0.35067160210147835,0.33627604166666664,0.334645834913364,0.3410937499999999,0.33794366978634766,0.33627604166666664
"count_enc,mean_imp,min_max_scale,under_samp,no_sel",0.18229904623721252,0.6748080580762923,0.17417497585266148,0.31762116683205527,0.34661458333333334,0.3452220869165585,0.3510416666666667,0.34820616062446774,0.34661458333333334
"count_enc,mean_imp,no_samp,k_best_sel,max_abs_scale",0.08532024310425435,0.9053521418939938,0.051266712529536726,0.17600853490332996,0.29100000000000026,0.2662857142857145,0.08285714285714277,0.18476190476190452,0.42976190476190446
"count_enc,mean_imp,no_samp,k_best_sel,min_max_scale",0.07919588592800367,0.9118626430801255,0.04926270451350458,0.1595946128664513,0.2920000000000001,0.2665903890160183,0.08428571428571444,0.1855146124523509,0.43047619047619096
"count_enc,mean_imp,no_samp,k_best_sel,no_scale",0.07517531556802225,0.9156569630212421,0.04027956410333108,0.15325329002676644,0.2880000000000002,0.2626728110599076,0.08571428571428572,0.1836734693877554,0.42285714285714326
"count_enc,mean_imp,no_samp,k_best_sel,norm_scale",1.0,-1.0,0.0,1.0,0.29899999999999977,0.2992992992992995,0.0,0.17598587404355487,0.49833333333333396
"count_enc,mean_imp,no_samp,k_best_sel,quant_scale",0.1113136979897149,0.8742938598806818,0.06114716996181412,0.23704418710961217,0.2850000000000001,0.2561692126909523,0.09571428571428585,0.1837524177949709,0.41119047619047655
"count_enc,mean_imp,no_samp,max_abs_scale,k_best_sel",0.08532024310425435,0.9053521418939938,0.051266712529536726,0.17600853490332996,0.29100000000000026,0.2662857142857145,0.08285714285714277,0.18476190476190452,0.42976190476190446
"count_enc,mean_imp,no_samp,max_abs_scale,no_sel",0.09742870500233751,0.8910440738223444,0.06315117797784621,0.2010060221106097,0.29599999999999976,0.26620370370370394,0.0942857142857143,0.18925831202046028,0.43047619047619096
"count_enc,mean_imp,no_samp,min_max_scale,k_best_sel",0.07919588592800367,0.9118626430801255,0.04926270451350458,0.1595946128664513,0.2920000000000001,0.2665903890160183,0.08428571428571444,0.1855146124523509,0.43047619047619096
"count_enc,mean_imp,no_samp,min_max_scale,no_sel",0.09130434782608701,0.8975609756097568,0.051196921205595346,0.19299047517072354,0.29299999999999965,0.2641946697566625,0.0928571428571428,0.1874600127959051,0.4264285714285708
"count_enc,mean_imp,no_samp,no_scale,k_best_sel",0.07517531556802225,0.9156569630212421,0.04027956410333108,0.15325329002676644,0.2880000000000002,0.2626728110599076,0.08571428571428572,0.1836734693877554,0.42285714285714326
"count_enc,mean_imp,no_samp,no_scale,no_sel",0.08648901355773739,0.9013596374300191,0.05313113789768587,0.17268539122397425,0.2920000000000001,0.2599999999999999,0.10142857142857142,0.18838709677419332,0.41904761904761856
"count_enc,mean_imp,no_samp,no_sel,max_abs_scale",0.09742870500233751,0.8910440738223444,0.06315117797784621,0.2010060221106097,0.29599999999999976,0.26620370370370394,0.0942857142857143,0.18925831202046028,0.43047619047619096
"count_enc,mean_imp,no_samp,no_sel,min_max_scale",0.09130434782608701,0.8975609756097568,0.051196921205595346,0.19299047517072354,0.29299999999999965,0.2641946697566625,0.0928571428571428,0.1874600127959051,0.4264285714285708
"count_enc,mean_imp,no_samp,no_sel,no_scale",0.08648901355773739,0.9013596374300191,0.05313113789768587,0.17268539122397425,0.2920000000000001,0.2599999999999999,0.10142857142857142,0.18838709677419332,0.41904761904761856
"count_enc,mean_imp,no_samp,no_sel,norm_scale",1.0,-1.0,0.0,1.0,0.29899999999999977,0.2992992992992995,0.0,0.17598587404355487,0.49833333333333396
"count_enc,mean_imp,no_samp,no_sel,quant_scale",0.0868162692847125,0.900658000320975,0.046152005503544445,0.17881928058880286,0.28900000000000003,0.25737898465171216,0.10142857142857142,0.18681318681318673,0.4140476190476186
"count_enc,mean_imp,no_samp,norm_scale,k_best_sel",1.0,-1.0,0.0,1.0,0.3000000000000004,0.3000000000000004,0.0,0.17647058823529407,0.5
"count_enc,mean_imp,no_samp,norm_scale,no_sel",1.0,-1.0,0.0,1.0,0.29899999999999977,0.2992992992992995,0.0,0.17598587404355487,0.49833333333333396
"count_enc,mean_imp,no_samp,quant_scale,k_best_sel",0.1045348293595137,0.8823343682576444,0.06114716996181412,0.21999245551827687,0.28999999999999954,0.2605140186915889,0.09571428571428585,0.18637532133676105,0.4195238095238096
