pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,acc_dp_reps,seed
"ordinal_enc,median_imp,no_samp,no_scale,no_sel",0.1044327247514843,0.0,0.0213663676837485,0.0293259883344134,0.0605351170568562,0.0,0.0312122779789618,0.0269104965804342,1.2512837759180453,1,"(0, 20)",38428
"woe_enc,mean_imp,quant_scale,over_samp,k_best_sel",0.1088751773847702,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2395466549295775,2,"(0, 20)",38428
"target_enc,mean_imp,no_scale,under_samp,k_best_sel",0.1069343078105551,0.0,0.023230241656336,0.0281238875044499,0.053252443545669,0.0,0.0273545706371191,0.02812388750445,1.2338494205407295,2,"(0, 20)",38428
"woe_enc,mean_imp,under_samp,min_max_scale,no_sel",0.1024360197106978,0.0,0.0183877705997887,0.0272338910644357,0.0516542876434841,0.0,0.026511869693294,0.0272338910644357,1.223046171950713,2,"(0, 20)",38428
"count_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.1027874517966987,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2240214040597917,2,"(0, 20)",38428
"count_enc,median_imp,over_samp,max_abs_scale,k_best_sel",0.1027874517966987,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2240214040597917,2,"(0, 20)",38428
"count_enc,mean_imp,under_samp,min_max_scale,no_sel",0.1024392517097266,0.0,0.0204919533791498,0.0256318974724101,0.0487639688452421,0.0,0.02499132245748,0.0256318974724101,1.2238707169461698,2,"(0, 20)",38428
"onehot_enc,mean_imp,k_best_sel,no_samp,no_scale",0.1044327247514843,0.0,0.0213663676837485,0.0293259883344134,0.0605351170568562,0.0,0.0312122779789618,0.0269104965804342,1.2512837759180453,2,"(0, 20)",38428
"woe_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.1041355770702295,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2274329029077171,2,"(0, 20)",38428
"woe_enc,mean_imp,no_scale,over_samp,k_best_sel",0.1065012344994035,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2334556643730863,2,"(0, 20)",38428
"count_enc,median_imp,under_samp,min_max_scale,no_sel",0.1040493224026192,0.0,0.0248938993615096,0.0256318974724101,0.0487639688452421,0.0,0.02499132245748,0.0256318974724101,1.2279406086122495,2,"(0, 20)",38428
"woe_enc,mean_imp,under_samp,min_max_scale,no_sel",0.1033506121167344,0.0,0.0191848650043547,0.0265218939124243,0.0503718728870858,0.0,0.025836656840645,0.0265218939124243,1.225676683040121,3,"(0, 20)",38428
"count_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.0997638326585695,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2164239186123107,3,"(0, 20)",38428
"count_enc,median_imp,max_abs_scale,over_samp,k_best_sel",0.1037982961491261,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2265779939039636,3,"(0, 20)",38428
"target_enc,mean_imp,under_samp,no_scale,k_best_sel",0.1093712733794082,0.0,0.0213651620054588,0.02687789248843,0.0510135135135134,0.0,0.0261743803085456,0.0268778924884299,1.240591542480107,3,"(0, 20)",38428
"woe_enc,median_imp,under_samp,min_max_scale,no_sel",0.1036267283335676,0.0,0.019973549240347,0.0272338910644357,0.0516542876434841,0.0,0.026511869693294,0.0272338910644357,1.2260186196987042,3,"(0, 20)",38428
"count_enc,mean_imp,over_samp,max_abs_scale,k_best_sel",0.1048106399687653,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2291468142174262,3,"(0, 20)",38428
"count_enc,mean_imp,under_samp,min_max_scale,no_sel",0.0979585738192002,0.0,0.0166844978672732,0.0274118903524386,0.051974350320621,0.0,0.0266805266805267,0.0274118903524385,1.2119241873188682,3,"(0, 20)",38428
"count_enc,median_imp,under_samp,min_max_scale,no_sel",0.1019557619844495,0.0,0.0242659069243716,0.0274118903524386,0.051974350320621,0.0,0.0266805266805267,0.0274118903524385,1.2218481857994967,3,"(0, 20)",38428
"woe_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.1034611818351807,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2257244438307933,3,"(0, 20)",38428
"onehot_enc,mean_imp,k_best_sel,no_samp,no_scale",0.1044327247514843,0.0,0.0213663676837485,0.0293259883344134,0.0605351170568562,0.0,0.0312122779789618,0.0269104965804342,1.2512837759180453,3,"(0, 20)",38428
"woe_enc,median_imp,min_max_scale,under_samp,no_sel",0.1094792925247643,0.0,0.0217482048191868,0.0256318974724101,0.0487639688452421,0.0,0.02499132245748,0.0256318974724101,1.241539482001334,4,"(0, 20)",38428
"count_enc,median_imp,over_samp,max_abs_scale,k_best_sel",0.1098951444742329,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2421783301342058,4,"(0, 20)",38428
"woe_enc,mean_imp,over_samp,min_max_scale,no_sel",0.1088751773847702,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2395466549295775,4,"(0, 20)",38428
"count_enc,mean_imp,min_max_scale,under_samp,k_best_sel",0.10910194938264,0.0,0.0207857877296766,0.0266998932004272,0.0506928016221696,0.0,0.0260055478502079,0.0266998932004272,1.2399990918867545,4,"(0, 20)",38428
"count_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.1044730249070881,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2282891749657296,4,"(0, 20)",38428
"woe_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.1041355770702295,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2274329029077171,4,"(0, 20)",38428
"woe_enc,mean_imp,under_samp,min_max_scale,no_sel",0.1098011384537719,0.0,0.0243841441209862,0.0274118903524386,0.051974350320621,0.0,0.0266805266805267,0.0274118903524385,1.2414355668659818,4,"(0, 20)",38428
"woe_enc,median_imp,under_samp,min_max_scale,no_sel",0.1097352829879643,0.0,0.0187316283282633,0.02687789248843,0.0510135135135134,0.0,0.0261743803085456,0.0268778924884299,1.2414681918283546,4,"(0, 20)",38428
"count_enc,mean_imp,under_samp,min_max_scale,no_sel",0.1137607304634293,0.0,0.0305450992018683,0.0274118903524386,0.051974350320621,0.0,0.0266805266805267,0.0274118903524385,1.2515684446020552,4,"(0, 20)",38428
"onehot_enc,median_imp,under_samp,min_max_scale,no_sel",0.1011387607606832,0.0,0.0209834190966266,0.0263438946244215,0.050050727088265,0.0,0.0256677072493929,0.0263438946244214,1.2203045691569514,4,"(0, 20)",38428
"woe_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.1048106399687653,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2291468142174262,5,"(0, 20)",38428
"onehot_enc,median_imp,under_samp,min_max_scale,no_sel",0.1044210025409986,0.0,0.0224241061292915,0.0261658953364186,0.0497293640054127,0.0,0.0254986990459671,0.0261658953364186,1.2285646278099032,5,"(0, 20)",38428
"woe_enc,mean_imp,over_samp,min_max_scale,no_sel",0.1065012344994035,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2334556643730863,5,"(0, 20)",38428
"count_enc,median_imp,min_max_scale,under_samp,no_sel",0.1013261575493334,0.0,0.0150280629970721,0.0238519045923816,0.0455317703024125,0.0,0.0232962447844228,0.0238519045923816,1.2219078073791891,5,"(0, 20)",38428
