pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,opt_metric,seed
"woe_enc,most_freq_imp,no_samp,norm_scale,k_best_sel",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30639730639730645,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,4,"(1, 0, 0, 0)",28222
"loo_enc,most_freq_imp,norm_scale,k_best_sel,under_samp",0.32997481108312343,0.41284403669724773,0.6454829255861366,0.33479532163742687,0.30847457627118646,0.4035087719298246,0.35949764521193095,0.33479532163742687,-1.0,4,"(1, 0, 0, 0)",28222
"loo_enc,median_imp,norm_scale,k_best_sel,under_samp",0.3148614609571788,0.45871559633027525,0.6878822629969419,0.3450292397660819,0.32094594594594594,0.4122807017543859,0.3699059561128526,0.3450292397660819,-1.0,4,"(1, 0, 0, 0)",28222
"count_enc,most_freq_imp,no_sel,over_samp,norm_scale",0.1822429906542056,0.632183908045977,0.7454317712938403,0.22859744990892528,0.2358156028368794,0.21493624772313302,0.22551662174303688,0.22859744990892528,-1.0,4,"(1, 0, 0, 0)",28222
"woe_enc,median_imp,under_samp,k_best_sel,quant_scale",0.885286783042394,0.7339449541284404,1.6757257760462485,0.2149122807017544,0.2036474164133738,0.23391812865497075,0.21907600596125187,0.2149122807017544,0.11471321695760599,4,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,no_sel,over_samp,norm_scale",0.2948517940717629,0.48554913294797686,0.6992243466231906,0.30601092896174864,0.2947976878612717,0.33333333333333337,0.3146067415730338,0.30601092896174864,-1.0,4,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,over_samp,norm_scale,no_sel",0.28923076923076924,0.4835164835164835,0.6843711843711844,0.3041894353369763,0.28016359918200406,0.35883424408014575,0.3217726396917149,0.3041894353369763,-1.0,5,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,k_best_sel,no_samp,norm_scale",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30639730639730645,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,5,"(1, 0, 0, 0)",28222
"count_enc,most_freq_imp,no_sel,over_samp,norm_scale",0.2099533437013997,0.6171428571428571,0.7624420024420024,0.24225865209471764,0.2556131260794473,0.21493624772313302,0.23581560283687952,0.24225865209471764,-1.0,5,"(1, 0, 0, 0)",28222
"woe_enc,median_imp,no_samp,norm_scale,no_sel",0.1854419410745234,0.6146788990825688,0.7535677879714577,0.303030303030303,0.3548387096774194,0.5321637426900585,0.4576271186440678,0.346227590835011,-1.0,5,"(1, 0, 0, 0)",28222
