pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,dp_acc_reps,seed
"count_enc,mean_imp,no_sel,over_samp,no_scale",0.10626657824933688,0.0010193679918450561,0.022385735675593564,0.027059173357121602,0.05108664973186561,0.0002973535533750127,0.02635389516362585,0.027059173357121602,1.232921511627907,7,"(0, 20)",6007
"onehot_enc,most_freq_imp,under_samp,quant_scale,no_sel",0.10825783288781271,0.0,0.025668807925340376,0.027945888216447168,0.052933243425488885,0.0,0.02718614718614709,0.027945888216447057,1.237291157404963,7,"(0, 20)",6007
"target_enc,median_imp,quant_scale,under_samp,k_best_sel",0.11143732766824282,0.0,0.03262401292329373,0.02687789248843009,0.051013513513513464,0.0,0.026174380308545686,0.026877892488429977,1.2459933550159112,7,"(0, 20)",6007
"onehot_enc,most_freq_imp,under_samp,no_scale,no_sel",0.10295774008220354,0.0,0.01911166469827707,0.02652189391242432,0.05037187288708589,0.0,0.025836656840645067,0.02652189391242432,1.224699917731368,7,"(0, 20)",6007
"target_enc,most_freq_imp,over_samp,no_scale,k_best_sel",0.10379829614912617,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2265779939039636,7,"(0, 20)",6007
"target_enc,median_imp,no_scale,under_samp,k_best_sel",0.10876542034249542,0.0,0.026156628510403082,0.026699893200427205,0.0506928016221696,0.0,0.026005547850207922,0.026699893200427205,1.2392334535607556,7,"(0, 20)",6007
"count_enc,mean_imp,no_sel,over_samp,quant_scale",0.09775543259795227,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2114180879081542,7,"(0, 20)",6007
"target_enc,most_freq_imp,over_samp,quant_scale,k_best_sel",0.10379829614912617,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2265779939039636,7,"(0, 20)",6007
"target_enc,most_freq_imp,no_sel,under_samp,quant_scale",0.10314601872705048,0.0,0.025657088897882104,0.02687789248843009,0.051013513513513464,0.0,0.026174380308545686,0.026877892488429977,1.2250784933011392,7,"(0, 20)",6007
"target_enc,median_imp,no_sel,under_samp,quant_scale",0.10120411359245224,0.0,0.014587163854929412,0.025097899608401586,0.04779661016949155,0.0,0.024483417259940965,0.025097899608401586,1.2209895829137727,7,"(0, 20)",6007
"target_enc,median_imp,quant_scale,under_samp,k_best_sel",0.1007228525282785,0.0,0.018172433375466993,0.02634389462442155,0.05005072708826508,0.0,0.025667707249392935,0.026343894624421438,1.2192408510575115,8,"(0, 20)",6007
"target_enc,median_imp,no_sel,under_samp,no_scale",0.1069177128974193,0.0,0.02392989714639239,0.02652189391242432,0.05037187288708589,0.0,0.025836656840645067,0.02652189391242432,1.2346490709475229,8,"(0, 20)",6007
"target_enc,most_freq_imp,k_best_sel,under_samp,quant_scale",0.09939947433565027,0.0,0.016882091718662715,0.02598789604841578,0.049407783417935724,0.0,0.025329632199861174,0.02598789604841578,1.2161307276836368,8,"(0, 20)",6007
"target_enc,median_imp,no_scale,under_samp,no_sel",0.1091894711403193,0.0,0.028033615213815442,0.027767888928444284,0.05261382799325465,0.0,0.02701766539660544,0.027767888928444284,1.2397613531991947,8,"(0, 20)",6007
