pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,opt_metric,seed
"target_enc,mean_imp,no_scale,over_samp,k_best_sel",0.2487005308518755,0.26103949191916176,0.4429210493104964,0.3385714285714285,0.34688346883468835,0.3114285714285714,0.3296244784422808,0.3385714285714285,0.5918872199506001,6,"(1, 0, 0, 0)",45083
"count_enc,most_freq_imp,under_samp,no_sel,no_scale",0.16749999999999998,0.16010305483989695,0.29848626248675797,0.3566666666666667,0.35855263157894735,0.35,0.3543046357615893,0.3566666666666667,0.7022222222222223,6,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,over_samp,no_sel",0.10860838537020523,0.021884565150200874,0.1376369335132764,0.28714285714285714,0.2846820809248555,0.2928571428571428,0.2887931034482758,0.28714285714285703,0.7949473684210525,7,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,no_samp,no_sel",0.04791958859280043,0.004486585110519539,0.10175350475123242,0.275,0.2571428571428571,0.0714285714285714,0.17460317460317454,0.4107142857142857,0.9461489965325207,7,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.0981494251787755,0.022921464820187643,0.1324957694152391,0.2728571428571429,0.26617647058823535,0.28714285714285714,0.2768115942028986,0.2728571428571428,0.8100461629873396,7,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,no_samp,k_best_sel",0.004347826086956497,0.002352964635739134,0.01911649794665709,0.275,0.2646733111849391,0.05142857142857138,0.17155333749220214,0.424047619047619,0.9951923076923077,7,"(1, 0, 0, 0)",45083
"ordinal_enc,most_freq_imp,min_max_scale,no_samp,k_best_sel",0.10327255726975226,0.05617204558370473,0.20723597756891046,0.271,0.24433849821215736,0.0942857142857143,0.17608836907082526,0.3888095238095238,0.8814341688583543,7,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,min_max_scale,no_samp,k_best_sel",0.1154277699859747,0.069093410702001,0.2045946355446928,0.239,0.2115143929912391,0.09999999999999998,0.15943962641761178,0.3316666666666668,0.8617271505376345,7,"(1, 0, 0, 0)",45083
"woe_enc,mean_imp,k_best_sel,no_scale,over_samp",0.20749926943308,0.13555469147249727,0.3152655095596991,0.27642857142857147,0.26951399116347574,0.2914285714285715,0.280638143582306,0.27642857142857136,0.6260984038176732,7,"(1, 0, 0, 0)",45083
"woe_enc,mean_imp,no_sel,no_scale,over_samp",0.1484674329501916,0.11676088495398759,0.20043717768614863,0.24857142857142855,0.23731343283582085,0.27,0.25401459854014596,0.24857142857142855,0.7186932849364791,7,"(1, 0, 0, 0)",45083
"target_enc,mean_imp,no_scale,over_samp,k_best_sel",0.07516401527545247,0.03287171357640656,0.11745762574852564,0.35,0.3660714285714286,0.29000000000000004,0.33018867924528306,0.35,0.8711283638805629,7,"(1, 0, 0, 0)",45083
"count_enc,most_freq_imp,under_samp,no_sel,no_scale",0.10597388994875251,0.16095317725752512,0.1840570727376154,0.365,0.36454849498327757,0.3666666666666667,0.3656093489148582,0.365,0.8014855300959989,7,"(1, 0, 0, 0)",45083
