pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,dp_acc_ratio,seed
"loo_enc,most_freq_imp,no_sel,min_max_scale,under_samp",0.8524479259391133,0.6330275229357798,1.545514355445301,0.1871345029239766,0.17771084337349397,0.20175438596491224,0.18991097922848665,0.1871345029239766,0.14442955418565173,1,"(0, 10)",42505
"target_enc,median_imp,no_scale,over_samp,k_best_sel",0.8051182914480346,0.5678084099136731,1.39805532349392,0.19398907103825136,0.20106761565836295,0.18214936247723135,0.19171917191719168,0.19398907103825136,0.17877934272300472,1,"(0, 10)",42505
"loo_enc,median_imp,no_sel,under_samp,min_max_scale",0.805871212121212,0.5871559633027523,1.409138858456379,0.20321637426900585,0.21246458923512745,0.1871345029239766,0.19999999999999996,0.20321637426900585,0.1798907805974944,1,"(0, 10)",42505
"ordinal_enc,most_freq_imp,no_samp,min_max_scale,no_sel",0.8733069136429368,0.8415167145725873,1.5995888893114287,0.20314253647586977,0.24764890282131657,0.29824561403508776,0.27382753403933435,0.2210718051960502,0.054419410745233966,1,"(0, 10)",42505
"loo_enc,mean_imp,max_abs_scale,under_samp,k_best_sel",0.8357843137254902,0.6055045871559633,1.5252370286275352,0.19444444444444442,0.19533527696793007,0.19298245614035092,0.19416058394160596,0.19444444444444453,0.1642156862745098,1,"(0, 10)",42505
"loo_enc,mean_imp,k_best_sel,quant_scale,under_samp",0.8308380990985433,0.6330275229357798,1.5074110845796154,0.20760233918128657,0.2109826589595376,0.20175438596491224,0.20639534883720922,0.20760233918128657,0.16324846247370897,1,"(0, 10)",42505
"woe_enc,mean_imp,min_max_scale,no_sel,over_samp",0.8054109553878536,0.5934937124111537,1.3807681663522742,0.19489981785063748,0.19378427787934183,0.19672131147540983,0.19525547445255464,0.19489981785063748,0.1707928118393235,1,"(0, 10)",42505
"target_enc,median_imp,min_max_scale,under_samp,k_best_sel",0.8277067898236535,0.6012127416624011,1.516178728056959,0.20467836257309946,0.20977011494252873,0.19590643274853803,0.2028985507246377,0.20467836257309935,0.16933711449840483,1,"(0, 10)",42505
"onehot_enc,most_freq_imp,max_abs_scale,no_samp,no_sel",0.8481548532382519,0.7394180415009647,1.4196174717003949,0.1717171717171717,0.20923076923076922,0.2485380116959064,0.2293853073463269,0.18619978909021184,0.07205357520274881,1,"(0, 10)",42505
"loo_enc,most_freq_imp,no_samp,min_max_scale,no_sel",0.8747585247657,0.8036382249872032,1.5353571233727683,0.18294051627384966,0.22118380062305298,0.26900584795321636,0.24585218702865763,0.19916594765602535,0.056102485304364916,2,"(0, 10)",42505
"ordinal_enc,mean_imp,max_abs_scale,under_samp,k_best_sel",0.849748420468264,0.7522935779816514,1.5929785094885007,0.23099415204678364,0.22619047619047616,0.23976608187134507,0.23303834808259594,0.23099415204678364,0.14114713216957606,2,"(0, 10)",42505
"ordinal_enc,median_imp,no_sel,under_samp,min_max_scale",0.8592142560688079,0.7204787967082726,1.5865502252797012,0.21345029239766078,0.2012195121951219,0.23391812865497075,0.21791044776119406,0.21345029239766078,0.12837831785077622,2,"(0, 10)",42505
"loo_enc,most_freq_imp,max_abs_scale,no_samp,no_sel",0.8897934627824571,0.8311611607670197,1.5918449214507804,0.18630751964085301,0.22327044025157228,0.2777777777777778,0.25151515151515147,0.20355191256830596,0.04643294432187199,2,"(0, 10)",42505
"onehot_enc,mean_imp,max_abs_scale,under_samp,k_best_sel",0.8402948402948403,0.7064220183486238,1.595683763315067,0.22514619883040932,0.22514619883040932,0.22514619883040932,0.22514619883040943,0.22514619883040932,0.1597051597051597,2,"(0, 10)",42505
"loo_enc,median_imp,no_sel,under_samp,min_max_scale",0.8308698727015559,0.6513761467889908,1.4994107663346092,0.20614035087719296,0.2052785923753666,0.20760233918128657,0.20644216691068817,0.20614035087719307,0.1601315366193659,2,"(0, 10)",42505
"loo_enc,mean_imp,max_abs_scale,under_samp,k_best_sel",0.8067864131954152,0.5969208961688389,1.4174874650135416,0.20906432748538006,0.21489971346704873,0.19883040935672514,0.20694645441389292,0.20906432748538006,0.17048720896809427,2,"(0, 10)",42505
"loo_enc,most_freq_imp,no_sel,min_max_scale,under_samp",0.8365550188532624,0.6422018348623854,1.5189025151344944,0.20467836257309946,0.20467836257309946,0.20467836257309946,0.20467836257309946,0.20467836257309946,0.15744817097574643,2,"(0, 10)",42505
"onehot_enc,most_freq_imp,max_abs_scale,no_samp,no_sel",0.8481548532382519,0.7394180415009647,1.4196174717003949,0.1717171717171717,0.20923076923076922,0.2485380116959064,0.2293853073463269,0.18619978909021184,0.07205357520274881,2,"(0, 10)",42505
"target_enc,median_imp,no_scale,over_samp,k_best_sel",0.8093687580375954,0.6025926151596392,1.4285660244663818,0.20400728597449913,0.2072072072072072,0.19854280510018218,0.2028985507246377,0.20400728597449902,0.17426198618186894,2,"(0, 10)",42505
