pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,reps,seed
"loo_enc,median_imp,under_samp,k_best_sel,no_scale",0.10782057779097443,0.0,0.022429938607156565,0.02687789248843009,0.051013513513513464,0.0,0.026174380308545686,0.026877892488429977,1.2367066788729022,2,accu_dp,49798
"loo_enc,mean_imp,no_samp,norm_scale,k_best_sel",0.4649791103465225,0.3120281831907398,0.5641895664760423,0.2814322747893714,0.2878068091844814,0.35955856176575296,0.325585754451734,0.28786729753467544,-1.0,2,accu_dp,49798
"onehot_enc,median_imp,norm_scale,over_samp,no_sel",0.696528555431131,0.16617708770457407,0.7055622942367547,0.34017246506095744,0.3771989947452593,0.18941421349985132,0.29560723514211884,0.34017246506095744,-1.0,2,accu_dp,49798
"ordinal_enc,median_imp,no_sel,norm_scale,over_samp",0.6970982142857143,0.16722268557130943,0.7080488142936918,0.33942908117752,0.3766560073092736,0.1885221528397264,0.2949231365456658,0.33942908117752013,-1.0,2,accu_dp,49798
"onehot_enc,median_imp,no_scale,no_sel,over_samp",0.10144197747882311,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2206314519735397,2,accu_dp,49798
"woe_enc,median_imp,norm_scale,over_samp,no_sel",0.6961770623742455,0.17189460476787954,0.7165631926641332,0.34493012191495687,0.38085446652958643,0.19417187035385075,0.2997416020671835,0.344930121914957,-1.0,3,accu_dp,49798
"onehot_enc,median_imp,no_sel,max_abs_scale,under_samp",0.09679505585583731,0.0,0.020189141173411904,0.02634389462442155,0.05005072708826508,0.0,0.025667707249392935,0.026343894624421438,1.209610589706333,3,accu_dp,49798
"woe_enc,most_freq_imp,over_samp,no_sel,quant_scale",0.11023547755024365,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2430584205985273,3,accu_dp,49798
"woe_enc,mean_imp,no_sel,max_abs_scale,under_samp",0.10438113787211512,0.0,0.01718623427483168,0.026699893200427205,0.0506928016221696,0.0,0.026005547850207922,0.026699893200427205,1.2281232932527677,3,accu_dp,49798
"loo_enc,median_imp,no_samp,norm_scale,k_best_sel",0.4649791103465225,0.3120281831907398,0.5641895664760423,0.2814322747893714,0.2878068091844814,0.35955856176575296,0.325585754451734,0.28786729753467544,-1.0,3,accu_dp,49798
"onehot_enc,median_imp,no_scale,no_sel,over_samp",0.10043459964249851,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2181029723409071,3,accu_dp,49798
"onehot_enc,most_freq_imp,over_samp,no_sel,quant_scale",0.10887517738477026,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2395466549295775,3,accu_dp,49798
"onehot_enc,most_freq_imp,under_samp,no_sel,quant_scale",0.1138537088229688,0.0,0.0217459666028856,0.024919900320398702,0.04747371990505256,0.0,0.02431399791594302,0.024919900320398702,1.2530669444371325,3,accu_dp,49798
"loo_enc,median_imp,under_samp,k_best_sel,no_scale",0.1095532981925521,0.0,0.017154099130843314,0.025453898184407242,0.04844173441734423,0.0,0.024822079500086858,0.025453898184407242,1.2417509848105854,3,accu_dp,49798
