pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,dp_acc_ratio,seed
"target_enc,median_imp,no_sel,min_max_scale,over_samp",0.10582449160035368,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2317279767666989,5,"(0, 10)",28786
"target_enc,mean_imp,no_sel,min_max_scale,over_samp",0.10379829614912617,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2265779939039636,5,"(0, 10)",28786
"ordinal_enc,median_imp,k_best_sel,over_samp,no_scale",0.1068398594265576,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2343215946064017,5,"(0, 10)",28786
"target_enc,mean_imp,no_sel,over_samp,min_max_scale",0.11125751335707929,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2457073500491642,5,"(0, 10)",28786
"ordinal_enc,mean_imp,no_sel,over_samp,min_max_scale",0.10717865375511565,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.235188921456804,5,"(0, 10)",28786
"ordinal_enc,mean_imp,no_sel,under_samp,min_max_scale",0.10059196663016273,0.0,0.01846857189672476,0.02598789604841578,0.049407783417935724,0.0,0.025329632199861174,0.02598789604841578,1.2190927920592214,5,"(0, 10)",28786
"target_enc,median_imp,k_best_sel,over_samp,no_scale",0.102450835457288,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2231719061926734,5,"(0, 10)",28786
"target_enc,mean_imp,no_sel,min_max_scale,under_samp",0.09928992634586703,0.0,0.019145959262813907,0.027233891064435745,0.05165428764348412,0.0,0.026511869693294,0.027233891064435745,1.2152999556288697,5,"(0, 10)",28786
"woe_enc,mean_imp,k_best_sel,quant_scale,under_samp",0.1096916181667344,0.0,0.026245279741648274,0.0275898896404414,0.0522941970310391,0.0,0.02684912523817773,0.02758988964044151,1.2410930357623016,5,"(0, 10)",28786
"woe_enc,mean_imp,k_best_sel,over_samp,no_scale",0.10819605627991374,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.237799324474859,5,"(0, 10)",28786
"ordinal_enc,mean_imp,no_sel,under_samp,min_max_scale",0.10102338867063088,0.0,0.02285481007244592,0.02652189391242432,0.05037187288708589,0.0,0.025836656840645067,0.02652189391242432,1.219957065251582,6,"(0, 10)",28786
"target_enc,mean_imp,no_sel,over_samp,min_max_scale",0.10379829614912617,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2265779939039636,6,"(0, 10)",28786
"ordinal_enc,median_imp,k_best_sel,over_samp,no_scale",0.10582449160035368,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2317279767666989,6,"(0, 10)",28786
"woe_enc,mean_imp,k_best_sel,over_samp,no_scale",0.10955498363235211,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2412996752998284,6,"(0, 10)",28786
"target_enc,mean_imp,no_sel,min_max_scale,over_samp",0.10650123449940357,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2334556643730865,6,"(0, 10)",28786
"target_enc,median_imp,no_sel,min_max_scale,over_samp",0.10582449160035368,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2317279767666989,6,"(0, 10)",28786
"ordinal_enc,mean_imp,no_sel,over_samp,min_max_scale",0.10211438449528432,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.222323750917415,6,"(0, 10)",28786
"target_enc,mean_imp,no_sel,min_max_scale,under_samp",0.10591097572791841,0.0,0.01566354455750848,0.025631897472410126,0.048763968845242145,0.0,0.024991322457480036,0.025631897472410126,1.232466651453551,6,"(0, 10)",28786
"target_enc,most_freq_imp,no_sel,min_max_scale,over_samp",0.10616277866129653,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2325911265050304,6,"(0, 10)",28786
"ordinal_enc,mean_imp,k_best_sel,under_samp,min_max_scale",0.10861493823182139,0.0,0.02280531641907782,0.027411890352438628,0.05197435032062103,0.0,0.026680526680526784,0.027411890352438517,1.2384260942017233,6,"(0, 10)",28786
"target_enc,mean_imp,no_sel,min_max_scale,under_samp",0.09506723768736619,0.0,0.019372614687505764,0.0275898896404414,0.0522941970310391,0.0,0.02684912523817773,0.02758988964044151,1.2048276816608996,7,"(0, 10)",28786
"ordinal_enc,mean_imp,no_sel,over_samp,min_max_scale",0.09608619976113575,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.207281999673034,7,"(0, 10)",28786
"target_enc,median_imp,k_best_sel,over_samp,no_scale",0.1105759831775433,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2439399511119895,7,"(0, 10)",28786
"target_enc,mean_imp,no_sel,over_samp,min_max_scale",0.10717865375511565,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.235188921456804,7,"(0, 10)",28786
"ordinal_enc,mean_imp,no_sel,min_max_scale,under_samp",0.09821434666751622,0.0,0.015694682675814753,0.02705589177643286,0.051334008780817286,0.0,0.026343154246100564,0.027055891776432972,1.212703567811583,7,"(0, 10)",28786
"target_enc,most_freq_imp,no_sel,min_max_scale,over_samp",0.10819605627991374,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.237799324474859,7,"(0, 10)",28786
"ordinal_enc,mean_imp,k_best_sel,under_samp,min_max_scale",0.10742915576101619,0.0,0.022356851582124387,0.02687789248843009,0.051013513513513464,0.0,0.026174380308545686,0.026877892488429977,1.2357231648952702,7,"(0, 10)",28786
"woe_enc,mean_imp,no_sel,over_samp,no_scale",0.10548637300516472,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2308662109387696,7,"(0, 10)",28786
"target_enc,mean_imp,no_sel,min_max_scale,over_samp",0.10989514447423293,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2421783301342058,7,"(0, 10)",28786
"ordinal_enc,median_imp,k_best_sel,over_samp,no_scale",0.10481063996876538,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2291468142174262,7,"(0, 10)",28786
"ordinal_enc,mean_imp,no_sel,over_samp,min_max_scale",0.1000991345290192,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2172627881825093,8,"(0, 10)",28786
"woe_enc,mean_imp,no_sel,over_samp,no_scale",0.1085355313471737,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2386722806405166,8,"(0, 10)",28786
"target_enc,mean_imp,no_sel,over_samp,min_max_scale",0.10447302490708815,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2282891749657296,8,"(0, 10)",28786
"ordinal_enc,mean_imp,no_sel,min_max_scale,over_samp",0.09875890347674426,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2139151581000067,8,"(0, 10)",28786
