pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,dp_acc_reps,seed
"woe_enc,most_freq_imp,over_samp,min_max_scale,no_sel",0.8020370370370371,0.5586720867208672,1.399602760984875,0.19672131147540983,0.19672131147540983,0.19672131147540983,0.19672131147540983,0.19672131147540983,0.17598934550989345,3,"(0, 20)",49616
"count_enc,mean_imp,max_abs_scale,no_sel,no_samp",0.8611751978717063,0.7767059101468677,1.51222347899777,0.18855218855218858,0.2331288343558282,0.26900584795321636,0.2514970059880238,0.20371968171795607,0.06755513058029045,3,"(0, 20)",49616
"count_enc,mean_imp,min_max_scale,no_samp,no_sel",0.8594420956186734,0.7675315982202623,1.5030491670711643,0.1874298540965208,0.23241590214067276,0.26608187134502925,0.24962630792227192,0.20225769341386246,0.06943166198529852,4,"(0, 20)",49616
"woe_enc,most_freq_imp,over_samp,max_abs_scale,no_sel",0.7713238998344739,0.4779254114449645,1.2469187637716501,0.17395264116575593,0.18035714285714288,0.16393442622950816,0.17222723174030663,0.17395264116575593,0.2003055659187408,4,"(0, 20)",49616
"woe_enc,mean_imp,max_abs_scale,no_sel,over_samp",0.8311424312237431,0.6147172236503856,1.4233591989590275,0.18214936247723135,0.17744916820702406,0.18943533697632053,0.18348623853211,0.18214936247723135,0.14145726884580387,4,"(0, 20)",49616
"woe_enc,most_freq_imp,no_samp,min_max_scale,no_sel",0.8646414023777722,0.7761152892073867,1.4933517564438539,0.1795735129068462,0.21913580246913578,0.26023391812865493,0.24024024024024027,0.19477998274374464,0.0638020677702743,4,"(0, 20)",49616
"count_enc,mean_imp,max_abs_scale,no_samp,no_sel",0.8611751978717063,0.7767059101468677,1.51222347899777,0.18855218855218858,0.2331288343558282,0.26900584795321636,0.2514970059880238,0.20371968171795607,0.06755513058029045,4,"(0, 20)",49616
"count_enc,most_freq_imp,max_abs_scale,no_sel,over_samp",0.8356611941517602,0.6740251218597675,1.5004733649746773,0.2067395264116576,0.2007434944237918,0.21675774134790526,0.20883164673413068,0.2067395264116576,0.1420545073375262,4,"(0, 20)",49616
"count_enc,mean_imp,max_abs_scale,no_sel,no_samp",0.8611751978717063,0.7767059101468677,1.51222347899777,0.18855218855218858,0.2331288343558282,0.26900584795321636,0.2514970059880238,0.20371968171795607,0.06755513058029045,4,"(0, 20)",49616
"woe_enc,most_freq_imp,max_abs_scale,no_sel,over_samp",0.7651872055541781,0.5104860925975295,1.2747311068425438,0.192167577413479,0.19713261648745517,0.1839708561020036,0.19060523938572727,0.192167577413479,0.20620766526622653,4,"(0, 20)",49616
"woe_enc,mean_imp,max_abs_scale,no_sel,no_samp",0.8631897912550089,0.7761152892073867,1.4831428295682603,0.17732884399551063,0.2142857142857143,0.26023391812865493,0.23795180722891562,0.1929584891189723,0.0621398115776028,4,"(0, 20)",49616
"woe_enc,most_freq_imp,over_samp,min_max_scale,no_sel",0.8101506643345915,0.5619604566972989,1.3824732772101194,0.18488160291438982,0.18772563176895307,0.180327868852459,0.18404351767905713,0.18488160291438982,0.1699572434607646,4,"(0, 20)",49616
"woe_enc,mean_imp,max_abs_scale,no_sel,over_samp",0.7915930912702792,0.5978517121471091,1.3582980559267863,0.20491803278688525,0.1966292134831461,0.21857923497267762,0.2077562326869805,0.20491803278688525,0.17480154164749195,5,"(0, 20)",49616
"woe_enc,most_freq_imp,over_samp,max_abs_scale,no_sel",0.8181613983500776,0.5854424446944132,1.414502273754242,0.1885245901639344,0.18450184501845024,0.19489981785063748,0.18973418881759863,0.1885245901639344,0.15438352116837617,5,"(0, 20)",49616
"woe_enc,most_freq_imp,no_samp,min_max_scale,no_sel",0.8646414023777722,0.7761152892073867,1.4933517564438539,0.1795735129068462,0.21913580246913578,0.26023391812865493,0.24024024024024027,0.19477998274374464,0.0638020677702743,5,"(0, 20)",49616
"count_enc,mean_imp,min_max_scale,no_samp,no_sel",0.8594420956186734,0.7675315982202623,1.5030491670711643,0.1874298540965208,0.23241590214067276,0.26608187134502925,0.24962630792227192,0.20225769341386246,0.06943166198529852,5,"(0, 20)",49616
"woe_enc,most_freq_imp,over_samp,min_max_scale,no_sel",0.8044080882978181,0.5789729441640279,1.3662473981051484,0.1885245901639344,0.19133574007220222,0.1839708561020036,0.18766999093381687,0.1885245901639343,0.17051014502919876,5,"(0, 20)",49616
"woe_enc,most_freq_imp,no_samp,max_abs_scale,no_sel",0.8614566890019759,0.7669409772807811,1.4739685176416548,0.17620650953984285,0.21362229102167185,0.2573099415204678,0.2360902255639098,0.19149650081487868,0.06402283617086349,5,"(0, 20)",49616
