pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,acc_dp_reps,seed
"ordinal_enc,median_imp,quant_scale,under_samp,k_best_sel",0.8345864661654135,0.6880733944954128,1.5777285669092058,0.2324561403508771,0.2393162393162393,0.2192982456140351,0.2294372294372294,0.2324561403508772,0.1654135338345864,1,"(0, 20)",55303
"count_enc,mean_imp,norm_scale,no_samp,k_best_sel",0.1178509532062391,0.7247706422018348,0.8059672233984161,0.2828282828282829,0.2727272727272727,0.5789473684210527,0.4666666666666667,0.3386540120793788,-1.0,1,"(0, 20)",55303
"onehot_enc,mean_imp,under_samp,min_max_scale,no_sel",0.7446366782006921,0.5742804268220656,1.2232564507980896,0.2105263157894736,0.21875,0.195906432748538,0.2074927953890489,0.2105263157894736,0.2117216117216117,2,"(0, 20)",55303
"ordinal_enc,median_imp,quant_scale,over_samp,k_best_sel",0.8176197836166924,0.6480446927374302,1.5305233252160626,0.2295081967213115,0.2390158172231986,0.2112932604735883,0.2254025044722719,0.2295081967213115,0.1823802163833075,2,"(0, 20)",55303
"onehot_enc,mean_imp,norm_scale,no_samp,k_best_sel",0.194107452339688,0.6055045871559633,0.7529404845918608,0.3097643097643098,0.3636363636363636,0.5497076023391814,0.4726027397260274,0.3549995206595725,-1.0,2,"(0, 20)",55303
"count_enc,mean_imp,k_best_sel,norm_scale,no_samp",0.1178509532062391,0.7247706422018348,0.8059672233984161,0.2828282828282829,0.2727272727272727,0.5789473684210527,0.4666666666666667,0.3386540120793788,-1.0,2,"(0, 20)",55303
"onehot_enc,median_imp,norm_scale,no_samp,k_best_sel",0.194107452339688,0.6146788990825688,0.7642515486552184,0.3120089786756453,0.3677685950413223,0.5526315789473684,0.476027397260274,0.3573722557760521,-1.0,2,"(0, 20)",55303
"ordinal_enc,mean_imp,quant_scale,under_samp,k_best_sel",0.817258883248731,0.6605504587155964,1.5377434411717368,0.239766081871345,0.2541436464088398,0.2105263157894736,0.2329545454545455,0.239766081871345,0.182741116751269,2,"(0, 20)",55303
"onehot_enc,median_imp,quant_scale,over_samp,no_sel",0.7916381645552303,0.6055934681940044,1.4080626039964734,0.2158469945355191,0.2234042553191489,0.2021857923497267,0.2129380053908357,0.2158469945355191,0.1905321470538861,2,"(0, 20)",55303
"count_enc,median_imp,no_sel,quant_scale,over_samp",0.7991731873524469,0.6202185792349727,1.4452423209253809,0.2222222222222222,0.2291296625222024,0.209471766848816,0.2194244604316546,0.2222222222222223,0.1899537080577238,2,"(0, 20)",55303
"ordinal_enc,median_imp,min_max_scale,no_samp,k_best_sel",0.8921337027674442,0.8317517817065008,1.6515523515070707,0.2042648709315375,0.2560975609756097,0.2865497076023392,0.2716417910447761,0.2197775860416068,0.056801405154958,2,"(0, 20)",55303
"count_enc,mean_imp,norm_scale,no_samp,k_best_sel",0.1178509532062391,0.7247706422018348,0.8059672233984161,0.2828282828282829,0.2727272727272727,0.5789473684210527,0.4666666666666667,0.3386540120793788,-1.0,2,"(0, 20)",55303
"onehot_enc,mean_imp,under_samp,quant_scale,no_sel",0.7978250649730794,0.6152695200220499,1.3976063107481025,0.2046783625730994,0.2046783625730994,0.2046783625730994,0.2046783625730994,0.2046783625730994,0.1814905814905814,3,"(0, 20)",55303
"ordinal_enc,median_imp,min_max_scale,over_samp,k_best_sel",0.850939859835932,0.7152201457079506,1.5744319215863931,0.214936247723133,0.209647495361781,0.2240437158469945,0.2169117647058823,0.214936247723133,0.1323020247624851,3,"(0, 20)",55303
"onehot_enc,mean_imp,k_best_sel,norm_scale,no_samp",0.1525129982668977,0.7064220183486238,0.8260801380067435,0.2592592592592593,0.2936802973977694,0.4444444444444444,0.3780687397708674,0.2941712204007285,-1.0,3,"(0, 20)",55303
