pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,acc_dp_reps,seed
"ordinal_enc,median_imp,no_samp,k_best_sel,norm_scale",0.0680531055612292,0.7548770144189991,0.8011655882305088,0.2198335431958478,0.3968589549984899,0.7453130978191558,0.641857962697274,0.3992342188124904,-1.0,1,"(0, 20)",52582
"woe_enc,mean_imp,no_sel,quant_scale,no_samp",0.2035496236920914,0.2174892653865339,0.3168644498011859,0.1678388255888947,0.3092485549132948,0.4513454916464736,0.3884426753855995,0.2646290565028485,0.2128932918809808,1,"(0, 20)",52582
"onehot_enc,most_freq_imp,no_sel,over_samp,no_scale",0.3819670990944885,0.1673694421384125,0.3966364388292032,0.187378640776699,0.2005811700891127,0.1653317152103559,0.1833366317039381,0.187378640776699,0.3886428902407774,1,"(0, 20)",52582
"target_enc,median_imp,over_samp,no_sel,quant_scale",0.3854428289544084,0.1958920181913762,0.4317915471042858,0.1995752427184466,0.2101174909247043,0.1813915857605178,0.1960110451141262,0.1995752427184467,0.3807026273070849,1,"(0, 20)",52582
"onehot_enc,most_freq_imp,over_samp,no_sel,max_abs_scale",0.3842157447848734,0.1660426990552625,0.4015917023009604,0.1869943365695793,0.2037370295210017,0.1587378640776698,0.1818557349961642,0.1869943365695792,0.3919404822727406,1,"(0, 20)",52582
"target_enc,mean_imp,over_samp,quant_scale,k_best_sel",0.4035980940024232,0.2255267940595579,0.4762510557283468,0.2058252427184466,0.217855202917669,0.1845064724919094,0.2015288945221214,0.2058252427184466,0.3589923048844938,1,"(0, 20)",52582
"woe_enc,most_freq_imp,over_samp,quant_scale,no_sel",0.3925930302171444,0.1990508338352182,0.44021855733475,0.2002224919093851,0.2109000117036632,0.1817556634304207,0.1965920600560046,0.2002224919093851,0.370692372366429,1,"(0, 20)",52582
"target_enc,most_freq_imp,over_samp,quant_scale,no_sel",0.3826269255289081,0.1997801417239847,0.4318630867482403,0.1998584142394822,0.2106166387144584,0.1812702265372168,0.1962112035584504,0.1998584142394822,0.3852339006364014,2,"(0, 20)",52582
"woe_enc,median_imp,over_samp,no_sel,quant_scale",0.3901183318069029,0.2080451873938,0.4421444544103382,0.2002224919093851,0.2106968573101698,0.1821197411003235,0.1966623621734379,0.200222491909385,0.3738805224504329,2,"(0, 20)",52582
"ordinal_enc,mean_imp,no_samp,k_best_sel,norm_scale",9.284189026088572e-05,1.0,1.0001042535446203,0.2409324037959522,1.0,1.0,1.0,0.5000809061488674,-1.0,2,"(0, 20)",52582
"onehot_enc,median_imp,under_samp,no_sel,norm_scale",0.1733493397358943,0.5674300254452926,0.6384280160681995,0.2687794924116822,0.2453651685393258,0.3147557709475832,0.2817325045117305,0.2687794924116822,-1.0,2,"(0, 20)",52582
"onehot_enc,mean_imp,under_samp,no_sel,quant_scale",0.3944716985655624,0.1957846319395587,0.4400380774476484,0.1962759852059686,0.2126221793170025,0.1678357352378523,0.1908482142857144,0.1962759852059685,0.3784345296904516,2,"(0, 20)",52582
"target_enc,median_imp,over_samp,no_sel,norm_scale",0.1265879206596835,0.7058671491341432,0.7648746553893558,0.3277912621359223,0.2567984460694699,0.4737459546925566,0.3838101553618795,0.3277912621359223,-1.0,2,"(0, 20)",52582
"target_enc,median_imp,over_samp,no_sel,quant_scale",0.3879744934159023,0.1945063789322267,0.4303375448650572,0.19917071197411,0.2088178863698656,0.1826051779935275,0.1959251079408663,0.1991707119741099,0.3750749895092396,2,"(0, 20)",52582
"onehot_enc,most_freq_imp,over_samp,no_sel,max_abs_scale",0.3826730721961608,0.160266303677091,0.3981417432400267,0.1866302588996763,0.2038686494132038,0.1575242718446602,0.1813518347451796,0.1866302588996763,0.3950414826940572,2,"(0, 20)",52582
"onehot_enc,mean_imp,under_samp,no_sel,norm_scale",0.2642219087917254,0.5504664970313825,0.7436372287386996,0.3385410024231603,0.3090497737556561,0.4157632954980232,0.3668716743832493,0.3385410024231603,-1.0,2,"(0, 20)",52582
